offset,keyLength,parentID,nodeName/nameLen,nodeName/nodeUnicode,recordType,flags,reserved1,CNID,createDate,contentModDate,attributeModDate,accessDate,backupDate,permissions/ownerID,permissions/groupID,permissions/adminFlags,permissions/ownerFlags,permissions/fileMode,permissions/special,userInfo/fileType,userInfo/fileCreator,userInfo/finderFlags,userInfo/location/v,userInfo/location/h,userInfo/opaque,finderInfo/document_id,finderInfo/date_added,finderInfo/extendedFinderFlags,finderInfo/reserved2,finderInfo/write_gen_counter,textEncoding,reserved2,dataFork/logicalSize,dataFork/clumpSize,dataFork/totalBlocks,dataFork/extents/extent0/startBlock,dataFork/extents/extent0/blockCount,dataFork/extents/extent1/startBlock,dataFork/extents/extent1/blockCount,dataFork/extents/extent2/startBlock,dataFork/extents/extent2/blockCount,dataFork/extents/extent3/startBlock,dataFork/extents/extent3/blockCount,dataFork/extents/extent4/startBlock,dataFork/extents/extent4/blockCount,dataFork/extents/extent5/startBlock,dataFork/extents/extent5/blockCount,dataFork/extents/extent6/startBlock,dataFork/extents/extent6/blockCount,dataFork/extents/extent7/startBlock,dataFork/extents/extent7/blockCount,resourceFork/logicalSize,resourceFork/clumpSize,resourceFork/totalBlocks,resourceFork/extents/extent0/startBlock,resourceFork/extents/extent0/blockCount,resourceFork/extents/extent1/startBlock,resourceFork/extents/extent1/blockCount,resourceFork/extents/extent2/startBlock,resourceFork/extents/extent2/blockCount,resourceFork/extents/extent3/startBlock,resourceFork/extents/extent3/blockCount,resourceFork/extents/extent4/startBlock,resourceFork/extents/extent4/blockCount,resourceFork/extents/extent5/startBlock,resourceFork/extents/extent5/blockCount,resourceFork/extents/extent6/startBlock,resourceFork/extents/extent6/blockCount,resourceFork/extents/extent7/startBlock,resourceFork/extents/extent7/blockCount,valence,bsdInfo/ownerID,bsdInfo/groupID,bsdInfo/adminFlags,bsdInfo/ownerFlags,bsdInfo/fileMode,bsdInfo/special,userInfo/windowBounds/top,userInfo/windowBounds/left,userInfo/windowBounds/bottom,userInfo/windowBounds/right,finderInfo/reserved3,folderCount,reserved,fullPath,
4035086,40,9640106,17,Catalog_Index.csv,2,130,0,9640109,3507822615,3507822653,3507822653,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,6,0,0,19963,0,5,8274281,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
4035376,38,9640106,16,Catalog_Leaf.csv,2,130,0,9640108,3507822615,3507822653,3507822653,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,1139,0,0,4657242,0,1138,9732281,581,9755109,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
4035664,42,9640106,18,Extents_Header.csv,2,130,0,9640113,3507822615,3507822653,3507822653,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,2,0,0,396,0,1,8274293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
4035956,40,9640106,17,Extents_Index.csv,2,130,0,9640112,3507822615,3507822653,3507822653,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,2,0,0,2717,0,1,8274292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
4036246,38,9640106,16,Extents_Leaf.csv,2,130,0,9640111,3507822615,3507822653,3507822653,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,16,0,0,57597,0,15,8274272,9,8274286,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
4036534,26,9640106,10,Journal.db,2,130,0,9640117,3507822615,3507822653,3507822653,3507822653,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,52039,0,0,5468160,0,1335,7503654,4,7504084,1,7504125,1,7504152,1,7504362,2,7504766,3,7504770,1,7504772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
4036810,54,9640106,24,Summary_Catalog_Leaf.csv,2,130,0,9665465,3507822653,3507822653,3507822653,3507822653,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977853,0,0,2,0,0,161,0,1,8639130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
4037114,38,9640106,16,VolumeHeader.csv,2,130,0,9640107,3507822615,3507822653,3507822653,3507822615,0,0,20,0,0,33188,1,0,0,0,0,0,0,0,1424977815,0,0,7,0,0,22273,0,6,9733168,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,unknown,
4037402,6,9640106,16,VolumeHeader.csv,4,,,9640107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
4037452,6,9640106,16,Catalog_Leaf.csv,4,,,9640108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,unknown,
